Focus_ACMO,Focus_BREN,Focus_CURV,Focus_GDER,Focus_GLVA,Focus_GLLV,Focus_GLVN,Focus_GRAE,Focus_GRAT,Focus_GRAS,Focus_HELM,Focus_HISE,Focus_HISR,Focus_LAPE,Focus_LAPM,Focus_LAPV,Focus_LAPD,Focus_SFIL,Focus_SFRQ,Focus_TENG,Focus_TENV,Focus_VOLA,Focus_WAVS,Focus_WAVV,Focus_WAVR,SNR_AjaNE1,SNR_AjaNE2,SNR_AjaNE3,SNR_AjaNE4,SNR_Brummer,SNR_Chang,SNR_noise_M1,SNR_noise_M2,SNR_MRI_lmmse,SNR_MeanImage,SNR_MeanC50x50,SNR_MeanC100x100,SNR_LogImage,SNR_LogC50x50,SNR_LogC100x100,Texture_Entropy_matlab,Texture_GLCM_Autocorrelation,Texture_GLCM_Contrast_matlab,Texture_GLCM_Correlation_matlab,Texture_GLCM_Correlation,Texture_GLCM_Cluster_Prominence,Texture_GLCM_Cluster_Shade,Texture_GLCM_Dissimilarity,Texture_GLCM_Energy_matlab,Texture_GLCM_Entropy,Texture_GLCM_Homogeneity_matlab,Texture_GLCM_Homogeneity,Texture_GLCM_Maximum_probability,Texture_GLCM_SumOfSqaures_Variance,Texture_GLCM_Sum_average,Texture_GLCM_Sum_variance,Texture_GLCM_Sum_entropy,Texture_GLCM_Difference_variance,Texture_GLCM_Difference_entropy,Texture_Info_measure_of_correlation1,Texture_Info_measure_of_correlation2,Texture_Inverse_diff_normalized,Texture_Inverse_diff_moment_normalized,NSS_BIQI,NSS_BRISQUE,NSS_JP2KNR,NSS_NIQE,NSS_SSEQ,MSS_MatLabBRISQUE,MSS_MatLabNIQE,Dicom_FileSize,Dicom_Width,Dicom_Height,Dicom_BitDepth,Dicom_SliceThickness,Dicom_RepetitionTime,Dicom_EchoTime,Dicom_NumberOfAverages,Dicom_ImagingFrequency,Dicom_EchoNumber,Dicom_MagneticFieldStrength,Dicom_SpacingBetweenSlices,Dicom_NumberOfPhaseEncodingSteps,Dicom_EchoTrainLength,Dicom_PercentSampling,Dicom_PercentPhaseFieldOfView,Dicom_PixelBandwidth,Dicom_DeviceSerialNumber,Dicom_FlipAngle,Dicom_SAR,Dicom_SeriesNumber,Dicom_AcquisitionNumber,Dicom_InstanceNumber,Dicom_SliceLocation,Dicom_LargestImagePixelValue,Dicom_WindowCenter,Dicom_WindowWidth
552.750806051587,3.92238585164107e-06,5.31749906994048,5.6070471379103e-06,0.0129050239408657,4.7319497258812e-10,0.0184627948726357,2.51263097736982e-06,0.000911989755045835,1.18782145015833e-06,1.59819050236039,1.89514413573936,0.0470283054856184,2.65311083912119e-06,0.0013021429388888,2.6531314022056e-06,0.00273725633180733,127964596399764,0.00100368316769453,0.000112257446318369,1.32078797287875e-07,1.12730315136155e-06,0.000367230205120449,0.000155160278259493,5.8244580017749e-06,0.000519043259327077,0.000563386807308576,0.000512042146466437,0.000571241906104052,0.000595284997759441,0.00901866178377968,0.00057107604098311,0.000546477639830994,0.000557862590660807,0.00902028344371367,0.0295274334891306,0.0289174380636263,12.0869294524059,17.2369846061009,17.1463257474818,1.89514413573936,9.42557524875622,0.0714707711442786,0.991484459293147,0.991484459293147,728.521677110475,77.3013630836693,0.0700404228855721,0.484287639944711,1.34993237602123,0.965218179933665,0.965122823383084,0.684514925373134,9.38985103777985,4.58903917910448,27.5514444561672,1.29708637304028,0.0714707711442786,0.255872774153164,-0.804966449861416,0.915286269652265,0.992233623548922,0.998902391323923,33.3130771654285,114.697,73.8275585170367,22.2381764790871,26.8244179850286,48.4707135512582,8.26913189953979,199126,336,384,12,4,6480,106,2,63.643426,1,1.5,4.4,180,15,50,87.5,130,25603,160,0.27347501380247,3,1,18,19.407455706104,3082,1106,2842
429.00691344246,2.34454751144619e-06,4.17999751984127,3.11200092355054e-06,0.0107895375098557,2.02037258342499e-10,0.0162744296866787,1.61147755885841e-06,0.000789204864710492,7.51088867638458e-07,1.74019887561845,1.62301948507535,0.0376897840848402,2.09435557061996e-06,0.00126464442240489,2.09437180304031e-06,0.00262996156918316,85581862580189.5,0.000869158320417216,6.50553754751545e-05,4.89032098113404e-08,5.81406566601489e-07,0.000369256719605888,0.000143240498745366,6.19962368695533e-06,0.000625085831998169,0.00058711923999374,0.000586289586597518,0.000601620866682086,0.000627960412768494,0.00716213931486991,0.000605687206385876,0.000480831415365417,0.000490848736518863,0.00715319196542253,0.0259178798865068,0.0260387916467184,11.6355220264524,17.2265179541904,17.2467314911638,1.62301948507535,9.66089863184079,0.0647388059701492,0.992987237634717,0.992987237634716,952.594142426389,99.514232496444,0.0633084577114428,0.539718054047239,1.19755051290787,0.96858416252073,0.968488805970149,0.72392723880597,9.623095703125,4.50665422885572,29.6674589849585,1.14971246735787,0.0647388059701493,0.237953451935262,-0.808997320138145,0.896359375494461,0.99298161967938,0.99900596001891,43.0765868497377,115.857,74.3067479872109,21.7627796495047,31.3526376272514,48.3223731880788,9.18106825005591,196248,336,384,12,4,6480,106,2,63.643106,1,1.5,4,180,15,50,87.5,130,25603,160,0.33334774261035,3,1,18,34.474283993066,2470,988,2535
527.385060143849,3.57128129830305e-06,5.08052765376984,5.34254216592007e-06,0.0128754699545522,5.0999607005873e-10,0.0191547416143662,2.39088794234886e-06,0.00088987727878134,1.06821889760445e-06,1.62044177443391,1.83437307664235,0.0448920424200809,2.66651356406712e-06,0.00133185796340923,2.66653423103009e-06,0.0027935614059881,117005209669375,0.000980595592145644,0.000103962642155767,1.25692974974749e-07,1.11128700406349e-06,0.000379093102492374,0.000157521096990087,6.02175910603173e-06,0.000626176852063783,0.000570475975535104,0.000555341106252129,0.000567857150762974,0.000621343162179804,0.00865176928358891,0.000592716924385712,0.000572982573093013,0.00058491971003245,0.00865465741528149,0.0300818563512402,0.029318666123949,11.7015362547529,17.1120837703154,17.0004795181958,1.83437307664235,9.86712531094527,0.0678793532338308,0.992668655607485,0.992668655607485,990.320022335517,98.6897996186042,0.0667754975124378,0.509599649016655,1.30347718830821,0.966794283789386,0.966722636815921,0.704438743781095,9.82955874922264,4.59202425373134,29.5928928574893,1.25388120596793,0.0678793532338308,0.246937735562256,-0.813090868644429,0.912333516322955,0.992592718227047,0.998957255346031,32.3587936516804,113.899,74.9379633671549,21.5276930811358,28.8517491849612,48.1897626349552,8.67014186514034,198604,336,384,12,4,6480,106,2,63.643121,1,1.5,4.4,180,15,50,87.5,130,25603,160,0.26680666026011,3,1,18,27.695949727414,2942,1076,2841
754.99759734623,8.97854758670901e-06,7.30576481894841,7.61734288877748e-06,0.0142802182383988,1.37920281356035e-09,0.0168973631896035,5.40513620124845e-06,0.00115078155018139,2.98682078075037e-06,1.79315705942066,2.12748677869348,0.0488441290913252,4.75577900518373e-06,0.00154729135898967,4.75581586511572e-06,0.0033108723635777,148825477737516,0.00126139412207122,0.000257919419980012,9.32554175902179e-07,2.47301553386677e-06,0.000405952632493012,0.000240921559630883,5.79476581712941e-06,0.000610551613641565,0.000577800070371104,0.000560502328184672,0.000579246591366544,0.000600413236722237,0.0120883680476082,0.000585628129553842,0.000589821603828431,0.00060210955390819,0.0120684292956292,0.029783733430931,0.030830205297419,13.019752320272,16.9430361784173,17.0930089830764,2.12748677869348,11.9643967661692,0.118050373134328,0.987496955851862,0.987496955851862,571.071498378984,50.838701807008,0.0969682835820895,0.386423123204523,1.52290353221243,0.954944029850747,0.95362406716418,0.588207400497512,11.9392184584888,5.4046486318408,34.5532336659045,1.4312592648454,0.118050373134328,0.327198554566612,-0.768074180563768,0.92210581859288,0.989457918739635,0.998214862856424,37.4471911791902,115.351,73.0873056373743,23.8186904424732,25.0020938073425,47.5948351378437,9.28447721114498,204076,336,384,12,4,6480,106,2,63.643146,1,1.5,4,180,15,50,87.5,130,25603,160,0.29111471853836,4,1,18,8.7649624184194,3201,1344,2993
578.925657242063,3.87308752918769e-06,5.55233909970238,5.18684768091509e-06,0.0137394046968467,5.18676766948319e-10,0.0199592771228372,2.52570471665374e-06,0.000920397548591516,1.21768250596998e-06,1.63539323113896,1.85224356097372,0.0484931715877012,2.76340643369887e-06,0.00137568034536673,2.76342785163547e-06,0.00289204055474104,119630460955985,0.00101541946390765,0.000110962158362619,1.37782212928684e-07,1.0852579456808e-06,0.000388868990024114,0.000161405039943754,5.58654578415939e-06,0.00068623636224918,0.000645541301081838,0.000602833097230697,0.000585302824699274,0.000658164664348816,0.00943295948729686,0.000623398968677957,0.000585174232461444,0.00059736536230439,0.0094578195523796,0.0318633192913382,0.0326678366945418,11.9955098694612,17.2705097867448,17.378803390763,1.85224356097372,9.7103855721393,0.0643656716417911,0.992727393618779,0.992727393618779,777.826573687886,83.1887347808943,0.0628264925373134,0.506973929254729,1.25649664667287,0.968843283582089,0.968740671641791,0.698903917910448,9.670751953125,4.61187810945274,29.2197235229027,1.20846287484603,0.0643656716417911,0.236733307804034,-0.814249589308652,0.906611691640917,0.993036380597015,0.999011848281218,39.8200444366956,113.919,75.0408195742835,20.8367476978105,27.7669957699299,48.0651734465461,8.25570336847707,199268,336,384,12,4,6480,106,2,63.643077,1,1.5,4.4,180,15,50,87.5,130,25603,160,0.29608299084923,3,1,18,24.812021980415,3178,1102,2972
499.023065476191,3.44477856804023e-06,4.83185298859127,4.84663721339086e-06,0.0122299254763526,3.78283116169134e-10,0.0181823088090403,2.25507115892922e-06,0.000877150454036233,1.04711436744934e-06,1.61474987418927,1.79566500561712,0.0452277409018082,2.61160134677995e-06,0.00131297932326964,2.61162158814271e-06,0.00274361922825707,111590691031217,0.000968487364009826,9.65443060518182e-05,1.03073583635931e-07,9.45122856102475e-07,0.000376844291078082,0.000155103891352563,6.59256499563231e-06,0.000625207904173343,0.000595395588907799,0.000587418333263326,0.000602850257232549,0.000624869286292905,0.00822186770428018,0.000598373366227309,0.000542628800996579,0.000553933567684007,0.00822618726411534,0.0290262206726199,0.0281384246830227,11.71740908085,17.1933280902508,17.0584209635058,1.79566500561712,8.95405783582089,0.0698849502487562,0.991457378711934,0.991457378711934,774.681912005336,82.0738849778981,0.0686100746268657,0.515633594383299,1.28138258112082,0.965905498548922,0.965822450248756,0.708698694029851,8.92007929104478,4.42657027363184,26.5091153076243,1.23008417144197,0.0698849502487562,0.251963398371956,-0.803200010632106,0.906047149270648,0.99239077654656,0.99892663216105,34.5257580152907,115.465,73.459952485896,22.8259724404391,27.1320009189835,48.0664099058639,7.78675742443564,197648,336,384,12,4,6480,106,2,63.643099,1,1.5,4,180,15,50,87.5,130,25603,160,0.26827029873168,2,1,18,26.821881354108,2964,1050,2751
661.263439360119,6.68013087567746e-06,6.3631107390873,6.74765974519102e-06,0.0140241771346263,1.12848150297732e-09,0.0183891481769022,4.09556825926976e-06,0.00105941454220153,2.16032455365755e-06,1.78081569281243,2.01425024299936,0.0473792629892424,3.58926461254613e-06,0.00148240574602202,3.58929243134287e-06,0.00314563608181695,133019677943284,0.00116950125465108,0.000194956666781607,5.65690720227944e-07,1.93288063492323e-06,0.000396923071500681,0.000181501318420366,5.24198239030602e-06,0.000579804684519722,0.000591820381098484,0.000595064337969774,0.000565472681133149,0.000667748437926168,0.0106736018921187,0.00061094117848837,0.000601503870260802,0.000614035200891235,0.0106953047749332,0.0320765056030276,0.032180224111669,12.4099989607952,17.1799378166375,17.1939579559424,2.01425024299936,11.2353933457711,0.0959888059701493,0.990135275917411,0.990135275917411,739.037365888413,74.0819679673568,0.0847792288557214,0.444314764626224,1.40638735969517,0.959451440713101,0.958731343283582,0.64629197761194,11.2044630363806,5.0668065920398,33.3247017465939,1.33054260261438,0.0959888059701493,0.297233628460263,-0.784422139547946,0.914975062120269,0.990703976958641,0.998539230739164,38.5668407291667,115.548,71.5172431724143,23.8222206327291,27.1108169862205,47.3310253707087,9.06278225047228,202122,336,384,12,4,6480,106,2,63.643099,1,1.5,4,180,15,50,87.5,130,25603,160,0.29513153662034,7,1,18,16.043610914976,3105,1241,2978
674.484731522818,6.69462230782821e-06,6.45459759424603,6.66340164991231e-06,0.0142122810615355,1.05749261154135e-09,0.0185147099095318,4.04916602595543e-06,0.00105979784844402,2.25105930684368e-06,1.75898166415024,1.99665002704402,0.0470130464637217,3.62800023543495e-06,0.00148416410987342,3.62802835445431e-06,0.0031484242159301,131894276576797,0.00116295114231776,0.00019189472496601,5.12869501991292e-07,1.78478301910076e-06,0.000401127012842612,0.000207549946491171,5.13522515518298e-06,0.00067154955367361,0.000618926513945916,0.00060364751273509,0.000600573456990182,0.000671790474426801,0.0109414854657817,0.000628798174490089,0.00059859029787049,0.000611060929076125,0.0109096461116083,0.0316883773332608,0.0322739128008617,12.5172614708096,17.1481548480206,17.2276710523025,1.99665002704402,11.7719605099502,0.102300995024876,0.990037589604812,0.990037589604811,792.698843233779,77.9316521182904,0.0884794776119403,0.443006616603124,1.40971175119092,0.958061904021559,0.957142412935323,0.64433302238806,11.7425343983209,5.17252798507463,35.192708033302,1.33096440303459,0.102300995024876,0.306294788863446,-0.780507414108404,0.914026352448269,0.990322472234786,0.99844495542032,38.0908073263343,116.009,72.9891394059768,23.351917277762,27.8156331106999,47.4089971060138,9.62038143138846,202204,336,384,12,4,6480,106,2,63.643393,1,1.5,4,180,15,50,87.5,130,25603,160,0.30403633637646,3,1,18,14.664414229453,3081,1260,3000
